"Parameter","Estimate","Std.Error","t.value","Pr"
"(Intercept)",-5780.8313580771,305.814503661125,-18.9030647299936,5.58730121477761e-55
"flipper_length_mm",49.6855664061002,1.51840386384399,32.7222339123375,4.37068096299598e-107
